
--- Whole Model Parameter Status (ZeRO-3) ---
Total Parameters:      3754.62 M
Trainable Parameters:  3754.62 M
Trainable Percentage:  100.00%
----------------------------

--- Visual Tower Parameter Status (ZeRO-3) ---
Total Parameters:      668.68 M
Trainable Parameters:  668.68 M
Trainable Percentage:  100.00%
----------------------------

--- Vision-Language Merger Parameter Status (ZeRO-3) ---
Total Parameters:      36.71 M
Trainable Parameters:  36.71 M
Trainable Percentage:  100.00%
----------------------------

--- Language Model Parameter Status (ZeRO-3) ---
Total Parameters:      3085.94 M
Trainable Parameters:  3085.94 M
Trainable Percentage:  100.00%
----------------------------
Vision Module - Attention Blocks:
Trainable Block Indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]
Non-Trainable Block Indices: None
Merger Module Trainable: True
LLM Module - Embed Tokens Trainable: True
LLM Module - Trainable Layer Indices: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]
LLM Module - Non-Trainable Layer Indices: None
Parameter Offload: Total persistent parameters: 755712 in 408 params
{'loss': 2.156, 'grad_norm': 16.415334102445335, 'learning_rate': 5.555555555555555e-07, 'epoch': 0.0}
{'loss': 2.4164, 'grad_norm': 16.736079335925986, 'learning_rate': 1.111111111111111e-06, 'epoch': 0.01}
{'loss': 2.2876, 'grad_norm': 14.707974844945518, 'learning_rate': 1.6666666666666667e-06, 'epoch': 0.01}
{'loss': 2.1967, 'grad_norm': 17.00739856353943, 'learning_rate': 2.222222222222222e-06, 'epoch': 0.01}
{'loss': 2.2451, 'grad_norm': 14.296232648394524, 'learning_rate': 2.7777777777777783e-06, 'epoch': 0.02}
{'loss': 2.194, 'grad_norm': 15.587099196487332, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.02}
{'loss': 2.2151, 'grad_norm': 13.447003359959414, 'learning_rate': 3.88888888888889e-06, 'epoch': 0.03}
{'loss': 2.0154, 'grad_norm': 21.945463781047692, 'learning_rate': 4.444444444444444e-06, 'epoch': 0.03}
{'loss': 1.8646, 'grad_norm': 17.39292781017582, 'learning_rate': 5e-06, 'epoch': 0.03}
{'loss': 2.1306, 'grad_norm': 12.263047326119645, 'learning_rate': 4.999821641793195e-06, 'epoch': 0.04}
{'loss': 1.5509, 'grad_norm': 10.925794579694072, 'learning_rate': 4.999286592622096e-06, 'epoch': 0.04}
{'loss': 1.8341, 'grad_norm': 9.721273536959533, 'learning_rate': 4.998394928831034e-06, 'epoch': 0.04}
{'loss': 1.6793, 'grad_norm': 8.279810811061518, 'learning_rate': 4.9971467776484526e-06, 'epoch': 0.05}
{'loss': 1.6392, 'grad_norm': 7.526610951607873, 'learning_rate': 4.995542317168756e-06, 'epoch': 0.05}
{'loss': 1.5603, 'grad_norm': 8.724425263141619, 'learning_rate': 4.993581776326901e-06, 'epoch': 0.06}
{'loss': 1.6844, 'grad_norm': 8.145101035670999, 'learning_rate': 4.991265434865726e-06, 'epoch': 0.06}
{'loss': 1.39, 'grad_norm': 6.700749942423259, 'learning_rate': 4.988593623296038e-06, 'epoch': 0.06}
{'loss': 1.6702, 'grad_norm': 9.04717291154238, 'learning_rate': 4.985566722849454e-06, 'epoch': 0.07}
{'loss': 1.3996, 'grad_norm': 6.65052510160264, 'learning_rate': 4.9821851654240025e-06, 'epoch': 0.07}
{'loss': 1.2248, 'grad_norm': 9.185855937448967, 'learning_rate': 4.9784494335225e-06, 'epoch': 0.07}
{'loss': 1.4699, 'grad_norm': 6.33674048084508, 'learning_rate': 4.9743600601836974e-06, 'epoch': 0.08}
{'loss': 1.56, 'grad_norm': 7.987670281671525, 'learning_rate': 4.969917628906234e-06, 'epoch': 0.08}
{'loss': 1.3906, 'grad_norm': 14.061013164378025, 'learning_rate': 4.96512277356537e-06, 'epoch': 0.08}
{'loss': 1.3978, 'grad_norm': 7.562541722020428, 'learning_rate': 4.9599761783225465e-06, 'epoch': 0.09}
{'loss': 1.3095, 'grad_norm': 6.521454879531018, 'learning_rate': 4.954478577527761e-06, 'epoch': 0.09}
{'loss': 1.3033, 'grad_norm': 8.633409904910655, 'learning_rate': 4.948630755614792e-06, 'epoch': 0.1}
{'loss': 1.3414, 'grad_norm': 6.053568084503005, 'learning_rate': 4.94243354698926e-06, 'epoch': 0.1}
{'loss': 1.2824, 'grad_norm': 5.842331713636839, 'learning_rate': 4.935887835909581e-06, 'epoch': 0.1}
{'loss': 1.0563, 'grad_norm': 4.984950133642104, 'learning_rate': 4.928994556360787e-06, 'epoch': 0.11}
{'loss': 1.4993, 'grad_norm': 13.103585055906187, 'learning_rate': 4.921754691921262e-06, 'epoch': 0.11}
{'loss': 1.2715, 'grad_norm': 6.269311488998962, 'learning_rate': 4.914169275622397e-06, 'epoch': 0.11}
{'loss': 1.169, 'grad_norm': 4.823388166149463, 'learning_rate': 4.906239389801191e-06, 'epoch': 0.12}
{'loss': 1.3209, 'grad_norm': 5.7671936959044965, 'learning_rate': 4.897966165945815e-06, 'epoch': 0.12}
{'loss': 1.2572, 'grad_norm': 5.927640675624061, 'learning_rate': 4.889350784534168e-06, 'epoch': 0.12}
{'loss': 1.1515, 'grad_norm': 4.918138550607157, 'learning_rate': 4.880394474865433e-06, 'epoch': 0.13}
{'loss': 1.1995, 'grad_norm': 6.009614568028338, 'learning_rate': 4.871098514884675e-06, 'epoch': 0.13}
{'loss': 1.3111, 'grad_norm': 6.352413911269592, 'learning_rate': 4.8614642310004975e-06, 'epoch': 0.14}
{'loss': 1.1423, 'grad_norm': 5.315014614103806, 'learning_rate': 4.851492997895777e-06, 'epoch': 0.14}
{'loss': 1.0911, 'grad_norm': 5.053720155031318, 'learning_rate': 4.841186238331519e-06, 'epoch': 0.14}
{'loss': 1.1696, 'grad_norm': 5.612386380554818, 'learning_rate': 4.830545422943847e-06, 'epoch': 0.15}
